id,motif,probability,motif_index
19,49,0.8844765424728394,1
19,30,0.10764654725790024,2
23,41,0.9938029646873474,1
24,49,0.9913815259933472,1
37,199,0.7345936894416809,1
37,41,0.24980416893959045,2
45,199,0.9695931673049927,1
60,49,0.8720513582229614,1
60,177,0.11277100443840027,2
60,85,0.007568563334643841,3
76,141,0.9948055148124695,1
82,49,0.4790361225605011,1
82,11,0.41167283058166504,2
82,162,0.05462490767240524,3
82,73,0.04202331602573395,4
82,68,0.008430811576545238,5
83,128,0.715333104133606,1
83,21,0.23244227468967438,2
83,45,0.05009997636079788,3
88,165,0.8820316791534424,1
88,6,0.11590538173913956,2
97,122,0.882857620716095,1
97,49,0.10863977670669556,2
98,148,0.5404080748558044,1
98,196,0.2663569748401642,2
98,140,0.1312703937292099,3
98,137,0.05791613087058067,4
99,22,0.9110437631607056,1
99,137,0.08467091619968414,2
106,127,0.6071372628211975,1
106,52,0.2597607970237732,2
106,76,0.13145102560520172,3
116,184,0.5245378017425537,1
116,196,0.3305516839027405,2
116,33,0.14205358922481537,3
128,32,0.42696186900138855,1
128,40,0.28568968176841736,2
128,15,0.20563992857933044,3
128,42,0.07849323004484177,4
142,68,0.7970640659332275,1
142,49,0.19627828896045685,2
145,113,0.5755360126495361,1
145,49,0.42071855068206787,2
146,40,0.5163649916648865,1
146,52,0.48169976472854614,2
147,49,0.6000108122825623,1
147,113,0.1473710834980011,2
147,75,0.10523298382759094,3
147,85,0.09473926573991776,4
147,57,0.04738042503595352,5
170,49,0.04151551425457001,1
170,164,0.020582884550094604,2
170,147,0.020222054794430733,3
170,86,0.02010565623641014,4
170,46,0.019930701702833176,5
170,64,0.0198822021484375,6
170,152,0.01902111805975437,7
170,44,0.01885179989039898,8
170,93,0.018692409619688988,9
170,35,0.01847645454108715,10
172,57,0.8712027668952942,1
172,76,0.12539434432983398,2
186,54,0.5292989611625671,1
186,93,0.4595130383968353,2
186,52,0.0073712849989533424,3
190,61,0.3872314393520355,1
190,193,0.36500313878059387,2
190,141,0.2412330061197281,3
190,57,0.0031917570158839226,4
204,49,0.7036711573600769,1
204,29,0.29000774025917053,2
229,14,0.6204148530960083,1
229,20,0.37686505913734436,2
230,153,0.49968889355659485,1
230,96,0.24991066753864288,2
230,6,0.24062064290046692,3
247,49,0.6333316564559937,1
247,84,0.36100631952285767,2
251,45,0.933591365814209,1
251,49,0.0027658436447381973,2
291,55,0.5542425513267517,1
291,118,0.32437077164649963,2
291,27,0.12004882097244263,3
294,158,0.6683836579322815,1
294,66,0.1590375155210495,2
294,21,0.1320641189813614,3
294,42,0.03774411231279373,4
306,183,0.4021654427051544,1
306,187,0.3307613730430603,2
306,147,0.22558540105819702,3
306,140,0.03761520981788635,4
308,148,0.6779998540878296,1
308,178,0.3167293965816498,2
309,143,0.6528680920600891,1
309,183,0.17663072049617767,2
309,80,0.16721710562705994,3
316,22,0.5374332070350647,1
316,152,0.3963734805583954,2
316,69,0.060059741139411926,3
316,140,0.0030272952280938625,4
322,55,0.38879072666168213,1
322,7,0.3314847946166992,2
322,34,0.2646481990814209,3
322,42,0.013649067841470242,4
325,56,0.8047957420349121,1
325,20,0.19192087650299072,2
337,188,0.6917287111282349,1
337,108,0.24312418699264526,2
337,119,0.06336215883493423,3
351,167,0.46883803606033325,1
351,55,0.31070369482040405,2
351,34,0.21748720109462738,3
352,185,0.4557568430900574,1
352,97,0.24781136214733124,2
352,129,0.13863839209079742,3
352,26,0.08492334187030792,4
352,104,0.04852975159883499,5
352,124,0.017338374629616737,6
352,140,0.005213058553636074,7
356,49,0.7971197366714478,1
356,113,0.0839509591460228,2
356,68,0.055966250598430634,3
356,84,0.0349942222237587,4
356,131,0.021004632115364075,5
378,49,0.5373456478118896,1
378,84,0.45758363604545593,2
380,125,0.8927136659622192,1
380,15,0.10566569864749908,2
385,169,0.997245728969574,1
392,173,0.9408599734306335,1
392,15,0.056418418884277344,2
418,61,0.8254640698432922,1
418,141,0.16770055890083313,2
429,26,0.39692407846450806,1
429,97,0.250887393951416,2
429,129,0.1947205662727356,3
429,64,0.10866521298885345,4
429,0,0.04494697228074074,5
451,85,0.960713803768158,1
465,49,0.04151551425457001,1
465,164,0.020582884550094604,2
465,147,0.020222054794430733,3
465,86,0.02010565623641014,4
465,46,0.019930701702833176,5
465,64,0.0198822021484375,6
465,152,0.01902111805975437,7
465,44,0.01885179989039898,8
465,93,0.018692409619688988,9
465,35,0.01847645454108715,10
468,180,0.4047659933567047,1
468,120,0.24093623459339142,2
468,35,0.18073979020118713,3
468,49,0.15188847482204437,4
468,68,0.019291002303361893,5
475,46,0.9464997053146362,1
475,134,0.04425659775733948,2
480,119,0.9428430199623108,1
480,59,0.037752535194158554,2
480,82,0.009489620104432106,3
506,105,0.951817512512207,1
506,59,0.038111839443445206,2
544,142,0.6729316115379333,1
544,151,0.15639114379882812,2
544,16,0.13269241154193878,3
544,111,0.03555357828736305,4
545,119,0.8126062154769897,1
545,105,0.13007231056690216,2
545,18,0.048804208636283875,3
